시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,삼척시,B000005017,오저초등학교,초등학교,1941-07-21,공립,본교,운영,강원도 삼척시 가곡면 오저리  93-2,강원도 삼척시 가곡면 가곡천로  1430,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.1462802,129.2066740,2017-09-05
강원도,삼척시,B000005018,장호초등학교,초등학교,1939-08-01,공립,본교,운영,강원도 삼척시 근덕면 용화리  166,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2881951,129.3018240,2017-09-05
강원도,삼척시,B000005019,소달초등학교,초등학교,1927-09-25,공립,본교,운영,강원도 삼척시 도계읍 고사리  136-1,강원도 삼척시 도계읍 소달길  54-30,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2756536,129.0634651,2017-09-05
강원도,삼척시,B000005020,도계초등학교,초등학교,1940-03-08,공립,본교,운영,강원도 삼척시 도계읍 도계리  401-1,강원도 삼척시 도계읍 도계로  265,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2331094,129.0445866,2017-09-05
강원도,삼척시,B000005021,장원초등학교,초등학교,1978-05-16,공립,본교,운영,강원도 삼척시 도계읍 도계리  212,강원도 삼척시 도계읍 장원길  25,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2280127,129.0549848,2017-09-05
강원도,삼척시,B000005022,흥전초등학교,초등학교,1963-11-21,공립,본교,운영,강원도 삼척시 도계읍 흥전리  60-9,강원도 삼척시 도계읍 흥전안길  137,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2143160,129.0432420,2017-09-05
강원도,삼척시,B000005023,하장초등학교,초등학교,1936-06-30,공립,본교,운영,강원도 삼척시 하장면 광동리  76-1,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3480961,128.9445910,2017-09-05
강원도,삼척시,B000005024,근덕초등학교궁촌분교장,초등학교,1941-06-07,공립,분교,운영,강원도 삼척시 근덕면 궁촌리  401,강원도 삼척시 근덕면 궁촌길  66,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3200313,129.2634127,2017-09-05
강원도,삼척시,B000005025,근덕초등학교동막분교장,초등학교,1941-06-15,공립,분교,운영,강원도 삼척시 근덕면 동막리  381,강원도 삼척시 근덕면 방재로  16,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3386369,129.2432976,2017-09-05
강원도,홍천군,B000005030,석화초등학교,초등학교,1962-06-13,공립,본교,운영,강원도 홍천군 홍천읍 갈마곡리 431,강원도 홍천군 홍천읍 석화안길1길 12,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2016-07-19,37.6978348,127.8935150,2017-09-05
강원도,홍천군,B000005031,주봉초등학교,초등학교,1953-04-10,공립,본교,운영,강원도 홍천군 홍천읍 결운리 281,강원도 홍천군 홍천읍 두루봉1길 16,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2016-07-19,37.7087547,127.9138688,2017-09-05
강원도,홍천군,B000005059,화계초등학교노일분교장,초등학교,1936-04-07,공립,분교,운영,강원도 홍천군 북방면 노일리  469-1,강원도 홍천군 북방면 노일로38번길  31,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.6758462,127.7478091,2017-09-05
강원도,횡성군,B000005074,둔내초등학교,초등학교,1929-12-31,공립,본교,운영,강원도 횡성군 둔내면 자포곡리  388-2,강원도 횡성군 둔내면 둔내로47번길  6,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5132316,128.2171115,2017-09-05
강원도,홍천군,B000005061,화계초등학교대룡분교장,초등학교,1939-12-05,공립,분교,운영,강원도 홍천군 북방면 북방리 455-2,강원도 홍천군 북방면 성동로 1144-5,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2017-08-23,37.7939052,127.8653362,2017-09-05
강원도,홍천군,B000005062,속초초등학교월운분교장,초등학교,1939-02-04,공립,분교,운영,강원도 홍천군 동면 월운리  334-4,강원도 홍천군 동면 월운로  413,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.6451713,127.9269083,2017-09-05
강원도,홍천군,B000005064,속초초등학교좌운분교장,초등학교,1934-07-30,공립,분교,운영,강원도 홍천군 동면 좌운리  922,강원도 홍천군 동면 금계로  1534,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.6358128,128.0124705,2017-09-05
강원도,횡성군,B000005067,성남초등학교,초등학교,1946-04-01,공립,본교,운영,강원도 횡성군 횡성읍 곡교리  244-1,강원도 횡성군 횡성읍 횡성로  109,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4646789,127.9728774,2017-09-05
강원도,횡성군,B000005068,창림초등학교,초등학교,1942-07-10,공립,본교,운영,강원도 횡성군 횡성읍 추동리 3-4,강원도 횡성군 횡성읍 한우로 789,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2017-08-23,37.4954356,128.0364391,2017-09-05
강원도,횡성군,B000005069,성북초등학교,초등학교,1968-03-01,공립,본교,운영,강원도 횡성군 횡성읍 읍상리  82,강원도 횡성군 횡성읍 성북로  10,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4900906,127.9919842,2017-09-05
강원도,횡성군,B000005070,횡성초등학교,초등학교,1911-11-03,공립,본교,운영,강원도 횡성군 횡성읍 읍하리  176-1,,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4870657,127.9796988,2017-09-05
강원도,횡성군,B000005071,우천초등학교,초등학교,1930-04-01,공립,본교,운영,강원도 횡성군 우천면 우항리  623-1,강원도 횡성군 우천면 수남로  319,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4614178,128.0621462,2017-09-05
강원도,횡성군,B000005072,정금초등학교,초등학교,1934-09-30,공립,본교,운영,강원도 횡성군 우천면 정금리 507-4,강원도 횡성군 우천면 경강로 3276,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2017-04-10,37.5048282,128.1044687,2017-09-05
강원도,횡성군,B000005073,안흥초등학교,초등학교,1920-06-29,공립,본교,운영,강원도 횡성군 안흥면 안흥리  89-1,강원도 횡성군 안흥면 서동로  1257,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4207279,128.1643871,2017-09-05
강원도,횡성군,B000005075,갑천초등학교,초등학교,1923-11-13,공립,본교,운영,강원도 횡성군 갑천면 매일리  705-1,강원도 횡성군 갑천면 청정로  262,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5574259,128.1080118,2017-09-05
강원도,횡성군,B000005076,청일초등학교,초등학교,1934-09-24,공립,본교,운영,강원도 횡성군 청일면 유동리  1005-1,강원도 횡성군 청일면 청정로  795,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5814753,128.1461224,2017-09-05
강원도,횡성군,B000005077,공근초등학교,초등학교,1925-10-03,공립,본교,운영,강원도 횡성군 공근면 학담리  113,강원도 횡성군 공근면 영서로  207,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5332644,127.9608130,2017-09-05
강원도,횡성군,B000005079,춘당초등학교,초등학교,1937-04-30,공립,본교,운영,강원도 횡성군 청일면 춘당리  759,강원도 횡성군 청일면 청정로  1461,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.6303089,128.1456059,2017-09-05
강원도,횡성군,B000005080,서원초등학교,초등학교,1934-09-01,공립,본교,운영,강원도 횡성군 서원면 창촌리  577-1,강원도 횡성군 서원면 서원로  173,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4870768,127.8514209,2017-09-05
강원도,횡성군,B000005081,유현초등학교,초등학교,1946-10-14,공립,본교,운영,강원도 횡성군 서원면 유현리 362-1,강원도 횡성군 서원면 경강로 711,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2017-04-10,37.5264431,127.8751423,2017-09-05
강원도,횡성군,B000005082,수백초등학교,초등학교,1946-08-31,공립,본교,운영,강원도 횡성군 공근면 수백리  341-3,강원도 횡성군 공근면 공근남로  446,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5336890,128.0070364,2017-09-05
강원도,횡성군,B000005083,강림초등학교,초등학교,1933-10-02,공립,본교,운영,강원도 횡성군 강림면 강림리  1562,강원도 횡성군 강림면 태종로강림4길  11,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.3582280,128.1202220,2017-09-05
